,Currency,Timestamp,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),trade-volume_x,miners-revenue_x,cost-per-transaction_x,n-unique-addresses_x,difficulty_x,market-cap_x,n-transactions-total_x,total-bitcoins_x,transaction-fees_x,output-volume_x,utxo-count_x,estimated-transaction-volume_x,n-transactions_x,market-price_x,n-payments_x,my-wallet-n-users_x,n-transactions-excluding-popular_x,blocks-size_x,trade-volume_y,miners-revenue_y,cost-per-transaction_y,n-unique-addresses_y,difficulty_y,market-cap_y,n-transactions-total_y,total-bitcoins_y,transaction-fees_y,output-volume_y,utxo-count_y,estimated-transaction-volume_y,n-transactions_y,market-price_y,n-payments_y,my-wallet-n-users_y,n-transactions-excluding-popular_y,blocks-size_y,blocks-size
0,BTC,2013-10-01,123.65498999999998,124.30466000000001,124.75166000000002,122.56348999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BTC,2013-10-02,125.455,123.65498999999998,125.7585,123.63383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BTC,2013-10-03,108.58483000000001,125.455,125.66566,83.32833000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BTC,2013-10-04,118.67466,108.58483000000001,118.675,107.05816000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BTC,2013-10-05,121.33866,118.67466,121.93633,118.00566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BTC,2013-10-06,120.65533,121.33866,121.85216000000001,120.5545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BTC,2013-10-07,121.795,120.65533,121.99166000000001,120.43198999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BTC,2013-10-08,123.03299999999999,121.795,123.64016000000001,121.35066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BTC,2013-10-09,124.04899999999999,123.03299999999999,124.7835,122.59266000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BTC,2013-10-10,125.96116,124.04899999999999,128.01683,123.81966000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BTC,2013-10-11,125.27966,125.96116,126.43666,124.11383000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BTC,2013-10-12,125.9275,125.27966,126.0365,123.12966000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BTC,2013-10-13,126.38333,125.9275,126.8965,125.2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BTC,2013-10-14,135.24199,126.38333,135.24199,126.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BTC,2013-10-15,133.20333,135.24199,135.69216,130.39275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BTC,2013-10-16,142.76333,133.20333,143.60483,132.94933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
